New Name,Model Number,Series,Factory,Category,Beds,Baths,Sq Ft,MSRP,Factory Direct Savings,Sale Price,Sale Price +1,Sale Price +3
Auburn,1456,Aspire,Topeka,Single Wide,2,2,1008,67500,12500,55000,57000,59000
DeKalb,1672,Aspire,Topeka,Single Wide,3,2,1152,75000,13000,62000,64000,66000
Noble,1460,Dutch,Topeka,Single Wide,2,1,840,62000,10000,52000,54000,56000
Indiana,2856,Paramount,Topeka,Double Wide,3,2,1493,102000,12100,89900,91900,93900
Midwest,2852,Paramount,Topeka,Double Wide,3,2,1493,98000,11100,86900,88900,90900
Prairie,2876,Paramount,Topeka,Double Wide,4,2,1493,108000,13500,94500,96500,98500
Hoosier,TBD,PRIME,Decatur,Double Wide,3,2,1600,105000,12000,93000,95000,97000
Heritage,TBD,PRIME,Decatur,Double Wide,4,2,1800,115000,14000,101000,103000,105000
Heartland,2860,Aspire Modular,Topeka,Modular,3,2,1680,125000,15000,110000,112000,114000
Lakeside,3268,Aspire Modular,Topeka,Modular,4,3,2176,165000,20000,145000,147000,149000
Crossroads,3276,Aspire Modular,Topeka,Modular,5,3,2432,170000,25000,145000,147000,149000
