Model Name,Square Feet,Base Price,Surcharge ($0.65/sqft),Total Cost,MSRP (65% Gross Profit)
40' Monroe,1120,"$48,075","$728","$48,803","$139,437"
Appleton,1176,"$50,195","$764","$50,959","$145,597"
44' Monroe,1232,"$50,395","$801","$51,196","$146,274"
44' Bayfield,1232,"$51,805","$801","$52,606","$150,303"
48' Monroe,1344,"$52,995","$874","$53,869","$153,911"
48' Lancaster,1344,"$53,695","$874","$54,569","$155,911"
48' Bayfield,1344,"$54,165","$874","$55,039","$157,254"
48' Brighton,1344,"$54,075","$874","$54,949","$156,997"
48' Lincoln,1344,"$49,995","$874","$50,869","$145,340"
52' Ventura,1456,"$56,395","$946","$57,341","$163,831"
52' Pontiac,1456,"$56,795","$946","$57,741","$164,974"
52' Lancaster,1456,"$55,875","$946","$56,821","$162,346"
52' Bayfield,1456,"$56,495","$946","$57,441","$164,117"
52' Brighton,1456,"$56,495","$946","$57,441","$164,117"
52' Lincoln,1456,"$52,795","$946","$53,741","$153,546"
52' Warren,1456,"$56,295","$946","$57,241","$163,546"
52' Jackson,1456,"$56,495","$946","$57,441","$164,117"
Pierre,1456,"$56,085","$946","$57,031","$162,946"
52' Summit,1456,"$55,375","$946","$56,321","$160,917"
Livingston,1456,"$56,395","$946","$57,341","$163,831"
56' Ventura,1568,"$57,275","$1,019","$58,294","$166,554"
56' Pontiac,1568,"$57,495","$1,019","$58,514","$167,183"
56' Bay Port,1568,"$61,245","$1,019","$62,264","$177,897"
56' Lincoln,1568,"$57,055","$1,019","$58,074","$165,926"
56' Warren,1568,"$57,145","$1,019","$58,164","$166,183"
56' Jackson,1568,"$57,345","$1,019","$58,364","$166,754"
56' Silverton,1568,"$55,495","$1,019","$56,514","$161,469"
56' Easton,1568,"$60,555","$1,019","$61,574","$175,926"
Belvidere,1568,"$57,995","$1,019","$59,014","$168,611"
56' Summit,1568,"$57,035","$1,019","$58,054","$165,869"
60' Woodward,1680,"$60,195","$1,092","$61,287","$175,106"
60' Bay Port,1680,"$63,755","$1,092","$64,847","$185,277"
60' Warren,1680,"$59,615","$1,092","$60,707","$173,449"
60' Silverton,1680,"$58,905","$1,092","$59,997","$171,420"
60' Easton,1680,"$62,925","$1,092","$64,017","$182,906"
60' Odyssey,1680,"$58,995","$1,092","$60,087","$171,677"
64' Woodward,1792,"$63,065","$1,165","$64,230","$183,514"
Fillmore,1792,"$64,345","$1,165","$65,510","$187,171"
Georgetown,1792,"$63,595","$1,165","$64,760","$185,029"
64' Summit,1792,"$62,695","$1,165","$63,860","$182,457"
68' Woodward,1904,"$67,735","$1,238","$68,973","$197,066"
68' Odyssey,1904,"$64,995","$1,238","$66,233","$189,237"
68' Summit,1904,"$65,950","$1,238","$67,188","$191,966"
Baldwin,2128,"$71,125","$1,383","$72,508","$207,166"
32' Casper,768,"$38,745","$499","$39,244","$112,126"
36' Casper,864,"$40,810","$562","$41,372","$118,206"
40' Sheridan,960,"$46,440","$624","$47,064","$134,469"
44' Sundance,1056,"$50,595","$686","$51,281","$146,517"
44' Sheridan,1056,"$48,585","$686","$49,271","$140,774"
48' Sundance,1152,"$52,725","$749","$53,474","$152,783"
48' Sheridan,1152,"$50,940","$749","$51,689","$147,683"
Fairplay,1152,"$51,235","$749","$51,984","$148,526"
52' Broomfield,1248,"$54,445","$811","$55,256","$157,874"
52' Sundance,1248,"$55,245","$811","$56,056","$160,160"
56' Broomfield,1344,"$58,045","$874","$58,919","$168,340"
Brooklyn,1344,"$62,875","$874","$63,749","$182,140"
Glenrock,1440,"$61,285","$936","$62,221","$177,774"
52' Thornton,1664,"$58,690","$1,082","$59,772","$170,777"
56' Thornton,1792,"$61,190","$1,165","$62,355","$178,157"
60' Shelby,1920,"$68,395","$1,248","$69,643","$198,980"
Timberlake,1920,"$64,995","$1,248","$66,243","$189,266"
Odyssey,1920,"$64,995","$1,248","$66,243","$189,266"
64' Henderson,2048,"$67,795","$1,331","$69,126","$197,503"
64' Shelby,2048,"$69,995","$1,331","$71,326","$203,789"
Madison,2176,"$72,795","$1,414","$74,209","$212,026"
68' Shelby,2176,"$74,995","$1,414","$76,409","$218,312"
68' Henderson,2176,"$71,195","$1,414","$72,609","$207,454"
Winston,2304,"$79,995","$1,498","$81,493","$232,837"
Verona,2432,"$79,995","$1,581","$81,576","$233,074"
76' Henderson,2432,"$80,295","$1,581","$81,876","$233,931"
