Model,Sq Ft,Base Price,Surcharge,Dealer Pack,True Cost,MSRP (65% Markup),Markup Amount,Markup %
40' Monroe,1120,"$48,075",$728,"$2,500","$51,303","$84,650","$33,347",65%
Appleton,1176,"$50,195",$764,"$2,500","$53,459","$88,207","$34,748",65%
44' Monroe,1232,"$50,395",$801,"$2,500","$53,696","$88,598","$34,902",65%
44' Bayfield,1232,"$51,805",$801,"$2,500","$55,106","$90,925","$35,819",65%
48' Monroe,1344,"$52,995",$874,"$2,500","$56,369","$93,009","$36,640",65%
48' Lancaster,1344,"$53,695",$874,"$2,500","$57,069","$94,164","$37,095",65%
48' Bayfield,1344,"$54,165",$874,"$2,500","$57,539","$94,939","$37,400",65%
48' Brighton,1344,"$54,075",$874,"$2,500","$57,449","$94,791","$37,342",65%
48' Lincoln,1344,"$49,995",$874,"$2,500","$53,369","$88,059","$34,690",65%
52' Ventura,1456,"$56,395",$946,"$2,500","$59,841","$98,738","$38,897",65%
52' Pontiac,1456,"$56,795",$946,"$2,500","$60,241","$99,398","$39,157",65%
52' Lancaster,1456,"$55,875",$946,"$2,500","$59,321","$97,880","$38,559",65%
52' Bayfield,1456,"$56,495",$946,"$2,500","$59,941","$98,903","$38,962",65%
52' Brighton,1456,"$56,495",$946,"$2,500","$59,941","$98,903","$38,962",65%
52' Lincoln,1456,"$52,795",$946,"$2,500","$56,241","$92,798","$36,557",65%
52' Warren,1456,"$56,295",$946,"$2,500","$59,741","$98,573","$38,832",65%
52' Jackson,1456,"$56,495",$946,"$2,500","$59,941","$98,903","$38,962",65%
Pierre,1456,"$56,085",$946,"$2,500","$59,531","$98,226","$38,695",65%
52' Summit,1456,"$55,375",$946,"$2,500","$58,821","$97,055","$38,234",65%
Livingston,1456,"$56,395",$946,"$2,500","$59,841","$98,738","$38,897",65%
56' Ventura,1568,"$57,275","$1,019","$2,500","$60,794","$100,310","$39,516",65%
56' Pontiac,1568,"$57,495","$1,019","$2,500","$61,014","$100,673","$39,659",65%
56' Bay Port,1568,"$61,245","$1,019","$2,500","$64,764","$106,861","$42,097",65%
56' Lincoln,1568,"$57,055","$1,019","$2,500","$60,574","$99,947","$39,373",65%
