Model Name,Square Feet,Base Price,Surcharge ($0.50/sqft),Total Cost,MSRP (65% Gross Profit)
1432H11214,448,"$25,495","$224","$25,719","$73,483"
1440H11065,560,"$27,475","$280","$27,755","$79,300"
1444H11023,616,"$29,820","$308","$30,128","$86,080"
1452H21023,728,"$33,150","$364","$33,514","$95,754"
1452H21081,728,"$32,385","$364","$32,749","$93,569"
1456H21023,784,"$34,815","$392","$35,207","$100,591"
1456H21030,784,"$34,245","$392","$34,637","$98,963"
1460H21216,840,"$35,010","$420","$35,430","$101,229"
1460H22215,840,"$36,460","$420","$36,880","$105,372"
1466H32082,924,"$38,195","$462","$38,657","$110,449"
1470H32082,980,"$40,320","$490","$40,810","$116,600"
1476H32082,1064,"$42,640","$532","$43,172","$123,348"
1652H21083,832,"$35,605","$416","$36,021","$102,917"
1652H21151,832,"$35,055","$416","$35,471","$101,346"
1656H22208,896,"$37,260","$448","$37,708","$107,737"
1660H22212,960,"$39,380","$480","$39,860","$113,886"
1660H32206,960,"$38,095","$480","$38,575","$110,214"
1664H32212,1024,"$40,895","$512","$41,407","$118,306"
1666H22091,1056,"$44,495","$528","$45,023","$128,637"
1666H22232,1056,"$41,450","$528","$41,978","$119,937"
1666H32085,1056,"$39,995","$528","$40,523","$115,780"
1666H32212,1056,"$42,200","$528","$42,728","$122,080"
1666H32217,1056,"$41,680","$528","$42,208","$120,594"
1666H32219,1056,"$41,035","$528","$41,563","$118,751"
1668H22259,1088,"$42,295","$544","$42,839","$122,397"
1668H32085,1088,"$40,830","$544","$41,374","$118,211"
1668H32087,1088,"$41,850","$544","$42,394","$121,126"
1668H32220,1088,"$42,940","$544","$43,484","$124,240"
1672H32087,1152,"$43,515","$576","$44,091","$125,974"
1672H32090,1152,"$43,495","$576","$44,071","$125,917"
1676H32085,1216,"$44,160","$608","$44,768","$127,909"
1676H32087,1216,"$45,180","$608","$45,788","$130,823"
1676H32089,1216,"$47,995","$608","$48,603","$138,866"
1676H32090,1216,"$43,995","$608","$44,603","$127,437"
1676H32091,1216,"$48,660","$608","$49,268","$140,766"
1676H32107,1216,"$43,995","$608","$44,603","$127,437"
1676H32212,1216,"$47,730","$608","$48,338","$138,109"
1676H32221,1216,"$48,790","$608","$49,398","$141,137"
1676H32222,1216,"$46,395","$608","$47,003","$134,294"
1676H32259,1216,"$44,995","$608","$45,603","$130,294"
