Model,Sq Ft,Base Price,Surcharge,Dealer Pack,True Cost,MSRP (65% Markup),Markup Amount,Markup %
1432H11214,448,"$25,495",$224,"$2,500","$28,219","$46,561","$18,342",65%
1440H11065,560,"$27,475",$280,"$2,500","$30,255","$49,921","$19,666",65%
1444H11023,616,"$29,820",$308,"$2,500","$32,628","$53,836","$21,208",65%
1452H21023,728,"$33,150",$364,"$2,500","$36,014","$59,423","$23,409",65%
1452H21081,728,"$32,385",$364,"$2,500","$35,249","$58,161","$22,912",65%
1456H21023,784,"$34,815",$392,"$2,500","$37,707","$62,217","$24,510",65%
1456H21030,784,"$34,245",$392,"$2,500","$37,137","$61,276","$24,139",65%
1460H21216,840,"$35,010",$420,"$2,500","$37,930","$62,584","$24,654",65%
1460H22215,840,"$36,460",$420,"$2,500","$39,380","$64,977","$25,597",65%
1466H32082,924,"$38,195",$462,"$2,500","$41,157","$67,909","$26,752",65%
1470H32082,980,"$40,320",$490,"$2,500","$43,310","$71,462","$28,152",65%
1476H32082,1064,"$42,640",$532,"$2,500","$45,672","$75,359","$29,687",65%
1652H21083,832,"$35,605",$416,"$2,500","$38,521","$63,560","$25,039",65%
1652H21151,832,"$35,055",$416,"$2,500","$37,971","$62,652","$24,681",65%
1656H22208,896,"$37,260",$448,"$2,500","$40,208","$66,343","$26,135",65%
1660H22212,960,"$39,380",$480,"$2,500","$42,360","$69,894","$27,534",65%
1660H32206,960,"$38,095",$480,"$2,500","$41,075","$67,774","$26,699",65%
1664H32212,1024,"$40,895",$512,"$2,500","$43,907","$72,447","$28,540",65%
1666H22091,1056,"$44,495",$528,"$2,500","$47,523","$78,413","$30,890",65%
1666H22232,1056,"$41,450",$528,"$2,500","$44,478","$73,389","$28,911",65%
1666H32085,1056,"$39,995",$528,"$2,500","$43,023","$70,988","$27,965",65%
1666H32212,1056,"$42,200",$528,"$2,500","$45,228","$74,626","$29,398",65%
1666H32217,1056,"$41,680",$528,"$2,500","$44,708","$73,768","$29,060",65%
1666H32219,1056,"$41,035",$528,"$2,500","$44,063","$72,704","$28,641",65%
1668H22259,1088,"$42,295",$544,"$2,500","$45,339","$74,809","$29,470",65%
1668H32085,1088,"$40,830",$544,"$2,500","$43,874","$72,392","$28,518",65%
1668H32087,1088,"$41,850",$544,"$2,500","$44,894","$74,075","$29,181",65%
1668H32220,1088,"$42,940",$544,"$2,500","$45,984","$75,874","$29,890",65%
1672H32087,1152,"$43,515",$576,"$2,500","$46,591","$76,875","$30,284",65%
1672H32090,1152,"$43,495",$576,"$2,500","$46,571","$76,842","$30,271",65%
1676H32085,1216,"$44,160",$608,"$2,500","$47,268","$77,992","$30,724",65%
1676H32087,1216,"$45,180",$608,"$2,500","$48,288","$79,675","$31,387",65%
1676H32089,1216,"$47,995",$608,"$2,500","$51,103","$84,320","$33,217",65%
1676H32090,1216,"$43,995",$608,"$2,500","$47,103","$77,720","$30,617",65%
1676H32091,1216,"$48,660",$608,"$2,500","$51,768","$85,417","$33,649",65%
1676H32107,1216,"$43,995",$608,"$2,500","$47,103","$77,720","$30,617",65%
1676H32212,1216,"$47,730",$608,"$2,500","$50,838","$83,883","$33,045",65%
1676H32221,1216,"$48,790",$608,"$2,500","$51,898","$85,632","$33,734",65%
1676H32222,1216,"$46,395",$608,"$2,500","$49,503","$81,680","$32,177",65%
1676H32259,1216,"$44,995",$608,"$2,500","$48,103","$79,370","$31,267",65%
