Category,Model,Sq Ft,Base Price,Surcharge,Dealer Pack,True Cost,MSRP (65% Markup),Markup Amount,Markup %
Aspire Single Wide,1432H11214,448,"$25,495",$224,"$2,500","$28,219","$46,561","$18,342",65%
Aspire Single Wide,1440H11065,560,"$27,475",$280,"$2,500","$30,255","$49,921","$19,666",65%
Aspire Single Wide,1444H11023,616,"$29,820",$308,"$2,500","$32,628","$53,836","$21,208",65%
Aspire Single Wide,1452H21023,728,"$33,150",$364,"$2,500","$36,014","$59,423","$23,409",65%
Aspire Single Wide,1452H21081,728,"$32,385",$364,"$2,500","$35,249","$58,161","$22,912",65%
Aspire Single Wide,1456H21023,784,"$34,815",$392,"$2,500","$37,707","$62,217","$24,510",65%
Aspire Single Wide,1456H21030,784,"$34,245",$392,"$2,500","$37,137","$61,276","$24,139",65%
Aspire Single Wide,1460H21216,840,"$35,010",$420,"$2,500","$37,930","$62,584","$24,654",65%
Aspire Single Wide,1460H22215,840,"$36,460",$420,"$2,500","$39,380","$64,977","$25,597",65%
Aspire Single Wide,1466H32082,924,"$38,195",$462,"$2,500","$41,157","$67,909","$26,752",65%
Aspire Single Wide,1470H32082,980,"$40,320",$490,"$2,500","$43,310","$71,462","$28,152",65%
Aspire Single Wide,1476H32082,1064,"$42,640",$532,"$2,500","$45,672","$75,359","$29,687",65%
Aspire Single Wide,1652H21083,832,"$35,605",$416,"$2,500","$38,521","$63,560","$25,039",65%
Aspire Single Wide,1652H21151,832,"$35,055",$416,"$2,500","$37,971","$62,652","$24,681",65%
Aspire Single Wide,1656H22208,896,"$37,260",$448,"$2,500","$40,208","$66,343","$26,135",65%
Aspire Single Wide,1660H22212,960,"$39,380",$480,"$2,500","$42,360","$69,894","$27,534",65%
Aspire Single Wide,1660H32206,960,"$38,095",$480,"$2,500","$41,075","$67,774","$26,699",65%
Aspire Single Wide,1664H32212,1024,"$40,895",$512,"$2,500","$43,907","$72,447","$28,540",65%
Aspire Single Wide,1666H22091,1056,"$44,495",$528,"$2,500","$47,523","$78,413","$30,890",65%
