Model Name,Square Feet,Base Price,Total Cost,MSRP (65% Gross Profit)
PEAK,784,"$30,195","$30,195","$86,271"
PEAK REVERSE AISLE,784,"$30,195","$30,195","$86,271"
CREST,840,"$31,980","$31,980","$91,371"
CREST REVERSE AISLE,840,"$31,980","$31,980","$91,371"
ZENITH,924,"$34,200","$34,200","$97,714"
ZENITH REVERSE AISLE,924,"$34,200","$34,200","$97,714"
PIKE,576,"$26,495","$26,495","$75,700"
FULTON,768,"$29,995","$29,995","$85,700"
FULTON REVERSE AISLE,768,"$29,995","$29,995","$85,700"
GALLATIN,832,"$30,995","$30,995","$88,557"
GALLATIN REVERSE AISLE,832,"$30,995","$30,995","$88,557"
BARKLEY,896,"$31,960","$31,960","$91,314"
BARKLEY REVERSE AISLE,896,"$31,960","$31,960","$91,314"
SPIRE,960,"$33,220","$33,220","$94,914"
SPIRE REVERSE AISLE,960,"$33,220","$33,220","$94,914"
CASEY,960,"$34,095","$34,095","$97,414"
VERTEX,1056,"$36,720","$36,720","$104,914"
VERTEX REVERSE AISLE,1056,"$36,720","$36,720","$104,914"
HICKMAN,1056,"$38,580","$38,580","$110,229"
PENDLETON,1056,"$38,580","$38,580","$110,229"
BARDSTOWN,1152,"$37,350","$37,350","$106,714"
BARDSTOWN REVERSE AISLE,1152,"$37,350","$37,350","$106,714"
BALLARD,1152,"$39,210","$39,210","$112,029"
POWELL,1152,"$39,210","$39,210","$112,029"
RIDGE,1216,"$39,620","$39,620","$113,200"
RIDGE REVERSE AISLE,1216,"$39,620","$39,620","$113,200"
MONTE,1216,"$40,695","$40,695","$116,271"
MONTE REVERSE AISLE,1216,"$40,695","$40,695","$116,271"
SOMERSET,1216,"$40,995","$40,995","$117,129"
FLOYD,1216,"$40,995","$40,995","$117,129"
PLATEAU,1152,"$46,185","$46,185","$131,957"
HORIZON,1344,"$49,210","$49,210","$140,600"
ESTILL,1232,"$45,190","$45,190","$129,114"
CHURCHILL,1344,"$47,400","$47,400","$135,429"
MERCER,1456,"$48,795","$48,795","$139,414"
APEX,1568,"$49,645","$49,645","$141,843"
CROWN,1568,"$50,445","$50,445","$144,129"
THE GRAND,1904,"$58,695","$58,695","$167,700"
PINNACLE,1568,"$63,995","$63,995","$182,843"
