Model,Sq Ft,Base Price,Surcharge,Dealer Pack,True Cost,MSRP (65% Markup),Markup Amount,Markup %
PEAK,784,"$30,195",$0,"$2,500","$32,695","$53,947","$21,252",65%
PEAK REVERSE AISLE,784,"$30,195",$0,"$2,500","$32,695","$53,947","$21,252",65%
CREST,840,"$31,980",$0,"$2,500","$34,480","$56,892","$22,412",65%
CREST REVERSE AISLE,840,"$31,980",$0,"$2,500","$34,480","$56,892","$22,412",65%
ZENITH,924,"$34,200",$0,"$2,500","$36,700","$60,555","$23,855",65%
ZENITH REVERSE AISLE,924,"$34,200",$0,"$2,500","$36,700","$60,555","$23,855",65%
PIKE,576,"$26,495",$0,"$2,500","$28,995","$47,842","$18,847",65%
FULTON,768,"$29,995",$0,"$2,500","$32,495","$53,617","$21,122",65%
FULTON REVERSE AISLE,768,"$29,995",$0,"$2,500","$32,495","$53,617","$21,122",65%
GALLATIN,832,"$30,995",$0,"$2,500","$33,495","$55,267","$21,772",65%
GALLATIN REVERSE AISLE,832,"$30,995",$0,"$2,500","$33,495","$55,267","$21,772",65%
BARKLEY,896,"$31,960",$0,"$2,500","$34,460","$56,859","$22,399",65%
BARKLEY REVERSE AISLE,896,"$31,960",$0,"$2,500","$34,460","$56,859","$22,399",65%
SPIRE,960,"$33,220",$0,"$2,500","$35,720","$58,938","$23,218",65%
SPIRE REVERSE AISLE,960,"$33,220",$0,"$2,500","$35,720","$58,938","$23,218",65%
CASEY,960,"$34,095",$0,"$2,500","$36,595","$60,382","$23,787",65%
VERTEX,1056,"$36,720",$0,"$2,500","$39,220","$64,713","$25,493",65%
VERTEX REVERSE AISLE,1056,"$36,720",$0,"$2,500","$39,220","$64,713","$25,493",65%
HICKMAN,1056,"$38,580",$0,"$2,500","$41,080","$67,782","$26,702",65%
PENDLETON,1056,"$38,580",$0,"$2,500","$41,080","$67,782","$26,702",65%
BARDSTOWN,1152,"$37,350",$0,"$2,500","$39,850","$65,752","$25,902",65%
BARDSTOWN REVERSE AISLE,1152,"$37,350",$0,"$2,500","$39,850","$65,752","$25,902",65%
BALLARD,1152,"$39,210",$0,"$2,500","$41,710","$68,822","$27,112",65%
POWELL,1152,"$39,210",$0,"$2,500","$41,710","$68,822","$27,112",65%
RIDGE,1216,"$39,620",$0,"$2,500","$42,120","$69,498","$27,378",65%
RIDGE REVERSE AISLE,1216,"$39,620",$0,"$2,500","$42,120","$69,498","$27,378",65%
MONTE,1216,"$40,695",$0,"$2,500","$43,195","$71,272","$28,077",65%
MONTE REVERSE AISLE,1216,"$40,695",$0,"$2,500","$43,195","$71,272","$28,077",65%
SOMERSET,1216,"$40,995",$0,"$2,500","$43,495","$71,767","$28,272",65%
FLOYD,1216,"$40,995",$0,"$2,500","$43,495","$71,767","$28,272",65%
PLATEAU,1152,"$46,185",$0,"$2,500","$48,685","$80,330","$31,645",65%
HORIZON,1344,"$49,210",$0,"$2,500","$51,710","$85,322","$33,612",65%
ESTILL,1232,"$45,190",$0,"$2,500","$47,690","$78,688","$30,998",65%
CHURCHILL,1344,"$47,400",$0,"$2,500","$49,900","$82,335","$32,435",65%
MERCER,1456,"$48,795",$0,"$2,500","$51,295","$84,637","$33,342",65%
APEX,1568,"$49,645",$0,"$2,500","$52,145","$86,039","$33,894",65%
CROWN,1568,"$50,445",$0,"$2,500","$52,945","$87,359","$34,414",65%
THE GRAND,1904,"$58,695",$0,"$2,500","$61,195","$100,972","$39,777",65%
PINNACLE,1568,"$63,995",$0,"$2,500","$66,495","$109,717","$43,222",65%
